                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3394,                 2.6237,                  1.818,                0.61957,                0.18966,                0.11384,                0.04258,                 2.4032,                 17.919,                 3.5515,             0.00054104,             0.00054104,             0.00054104
                      2,                  1.511,                  2.385,                 1.9351,                 0.0944,                0.23781,                0.08999,                 0.0318,                  2.362,                 10.336,                 4.6921,              0.0010859,              0.0010859,              0.0010859
                      3,                 1.8248,                 2.3777,                 2.1282,                0.02182,                0.56706,                0.02257,                0.00578,                 2.9148,                 117.72,                 9.8623,              0.0016197,              0.0016197,              0.0016197
                      4,                 1.8519,                  2.354,                 2.2033,                0.06626,                0.32459,                0.04139,                 0.0092,                 3.5662,                 10.707,                 4.7344,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.7375,                  2.269,                 2.0833,                0.02207,                0.46777,                0.02399,                0.00881,                 2.7697,                 711.26,                 9.1999,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.8533,                 2.4486,                  2.215,                0.04041,                0.32459,                0.02312,                 0.0055,                 3.8364,                 3.8255,                  4.301,               0.001601,               0.001601,               0.001601
                      7,                 1.7116,                 2.2435,                 2.0991,                 0.0019,                0.23838,                0.00088,                 0.0002,                 4.1331,                 62.331,                  17.23,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.6927,                 2.2391,                  2.105,                0.03818,                0.30285,                0.03826,                0.01024,                 2.4807,                 4.0873,                 3.2994,               0.001568,               0.001568,               0.001568
                      9,                 1.6735,                 2.1823,                 2.0682,                 0.1267,                0.55772,                0.16414,                0.04811,                 1.9381,                 4.5858,                  2.853,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.7003,                 2.0827,                 2.0922,                0.19091,                0.28486,                0.21942,                0.06695,                 2.2099,                 2.5292,                 3.2667,               0.001535,               0.001535,               0.001535
                     11,                 1.8009,                 2.1257,                 2.1244,                0.25317,                0.43778,                0.24403,                0.08622,                 1.9642,                 2.3807,                  3.153,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.5078,                 1.9726,                 1.9594,                0.31653,                0.60645,                0.35959,                0.13608,                 1.8727,                 2.3092,                 2.8087,               0.001502,               0.001502,               0.001502
                     13,                 1.5671,                 2.0003,                 1.9904,                 0.1939,                0.54948,                0.22678,                  0.069,                 2.2079,                 1.9852,                  3.072,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.7865,                 2.1978,                 2.0915,                0.20966,                0.70165,                0.29239,                0.11711,                  1.746,                 2.1333,                 2.7703,               0.001469,               0.001469,               0.001469
                     15,                 1.5278,                 1.9416,                 1.9669,                0.30273,                0.70414,                0.33382,                0.12354,                 1.6988,                 1.9008,                 2.7243,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.5168,                 1.9167,                 1.9215,                0.23936,                0.52277,                0.31213,                0.12817,                 2.1079,                 1.8661,                 2.9732,               0.001436,               0.001436,               0.001436
                     17,                 1.5936,                 1.8993,                 1.9398,                0.29655,                0.56334,                0.41761,                0.18323,                 2.0264,                 1.8919,                 2.9519,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.5258,                 1.8632,                 1.9023,                0.31437,                0.76237,                0.42829,                0.22015,                 1.6306,                 1.8458,                 2.5521,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.5535,                 1.8078,                 1.9199,                0.39849,                 0.7434,                0.48209,                0.21473,                 1.8588,                 1.8647,                 2.6342,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.5012,                 1.8401,                 1.8995,                0.42295,                0.76612,                0.45833,                0.23145,                 1.7207,                 1.6714,                 2.5111,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.4768,                 1.8112,                 1.8702,                0.36838,                0.64824,                0.37567,                 0.2063,                 1.6682,                 1.7075,                 2.4764,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.4232,                 1.7868,                 1.8632,                0.40406,                0.76162,                0.43638,                0.21686,                 1.8689,                 1.6838,                 2.7596,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.5008,                 1.8437,                 1.8801,                0.42306,                0.71814,                0.47541,                0.22032,                 1.7357,                 1.6411,                 2.5419,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.4932,                    1.8,                 1.8627,                0.40408,                0.76612,                0.44995,                0.20767,                 1.6766,                 1.6601,                 2.4091,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.4496,                  1.822,                 1.8477,                0.39306,                0.77061,                 0.4901,                0.22623,                 1.7317,                  1.664,                 2.4684,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.4125,                 1.8009,                 1.8449,                0.38368,                0.76612,                0.44674,                0.21905,                 1.6929,                 1.6856,                 2.4781,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.4373,                 1.7537,                 1.8702,                0.43839,                0.79641,                0.46972,                0.22185,                 1.6869,                 1.6768,                 2.4978,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.4803,                 1.7403,                 1.8968,                0.42511,                0.79411,                0.47303,                0.22044,                 1.7237,                 1.5579,                 2.5753,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.4881,                 1.8614,                 1.8746,                0.44424,                0.82232,                0.48602,                0.23757,                 1.8175,                 1.5237,                 2.7263,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.3623,                 1.6704,                 1.7739,                0.41685,                0.80069,                0.47871,                0.25395,                 1.6004,                 1.4295,                 2.4397,              0.0012049,              0.0012049,              0.0012049
